county,year,source,target,units,value
Fayette,2024,onsiteBTM,industrial,EJ,1.370448e-7
Fulton,2020,onsiteBTM,industrial,EJ,2.88e-9
Fulton,2021,onsiteBTM,industrial,EJ,9.3024e-8
Fulton,2022,onsiteBTM,industrial,EJ,1.00512e-7
Fulton,2023,onsiteBTM,industrial,EJ,9.71316e-8
Fulton,2024,onsiteBTM,industrial,EJ,1.223856e-7
Hall,2020,onsiteBTM,industrial,EJ,2.2608e-7
Hall,2021,onsiteBTM,industrial,EJ,2.2608e-7
Hall,2022,onsiteBTM,industrial,EJ,2.14848e-7
Hall,2023,onsiteBTM,industrial,EJ,1.79424e-7
Hall,2024,onsiteBTM,industrial,EJ,1.37088e-7
Bartow,2020,Coal,industrial,EJ,7.414614030259145e-5
Cherokee,2020,Coal,industrial,EJ,1.8188359326026696e-4
Clayton,2020,Coal,industrial,EJ,2.0309291217797114e-4
Cobb,2020,Coal,industrial,EJ,5.19793465514594e-4
Coweta,2020,Coal,industrial,EJ,9.953818026424947e-5
DeKalb,2020,Coal,industrial,EJ,5.186045065410168e-4
Douglas,2020,Coal,industrial,EJ,9.812675777479463e-5
Fayette,2020,Coal,industrial,EJ,8.105810887060407e-5
Forsyth,2020,Coal,industrial,EJ,1.7153497031740202e-4
Fulton,2020,Coal,industrial,EJ,7.252670086094256e-4
Gwinnett,2020,Coal,industrial,EJ,6.500126201820051e-4
Hall,2020,Coal,industrial,EJ,1.3796061372297932e-4
Henry,2020,Coal,industrial,EJ,1.6404446095962243e-4
Paulding,2020,Coal,industrial,EJ,1.1501363770869499e-4
Rockdale,2020,Coal,industrial,EJ,6.349502123752712e-5
Bartow,2021,Coal,industrial,EJ,7.872345058033407e-5
Cherokee,2021,Coal,industrial,EJ,1.9496067977939338e-4
Clayton,2021,Coal,industrial,EJ,2.123127180964524e-4
Cobb,2021,Coal,industrial,EJ,5.44022870603944e-4
Coweta,2021,Coal,industrial,EJ,1.0642739595684235e-4
DeKalb,2021,Coal,industrial,EJ,5.387624841105405e-4
Douglas,2021,Coal,industrial,EJ,1.0343818523432969e-4
Fayette,2021,Coal,industrial,EJ,8.567533443012734e-5
Forsyth,2021,Coal,industrial,EJ,1.8505435172154344e-4
Fulton,2021,Coal,industrial,EJ,7.539196707060562e-4
Gwinnett,2021,Coal,industrial,EJ,6.850124390542678e-4
Hall,2021,Coal,industrial,EJ,1.4686936651760649e-4
Henry,2021,Coal,industrial,EJ,1.7392268140929536e-4
Paulding,2021,Coal,industrial,EJ,1.2345518331254647e-4
Rockdale,2021,Coal,industrial,EJ,6.662328450824032e-5
Bartow,2022,Coal,industrial,EJ,7.096920076099053e-5
Cherokee,2022,Coal,industrial,EJ,1.7707226098297583e-4
Clayton,2022,Coal,industrial,EJ,1.880235563834152e-4
Cobb,2022,Coal,industrial,EJ,4.870498506230216e-4
Coweta,2022,Coal,industrial,EJ,9.625840747159322e-5
DeKalb,2022,Coal,industrial,EJ,4.809334322922884e-4
Douglas,2022,Coal,industrial,EJ,9.29164599121554e-5
Fayette,2022,Coal,industrial,EJ,7.684843644302108e-5
Forsyth,2022,Coal,industrial,EJ,1.6865447891496418e-4
Fulton,2022,Coal,industrial,EJ,6.773036788622739e-4
Gwinnett,2022,Coal,industrial,EJ,6.165584972632607e-4
