county,year,Single Family,Multifamily,Residential,Commercial,Institutional,Industrial,Municipal,Irrigation,Agricultural,Other,Self Supplied,New Commercial,Anheuser-Busch,NRW
Cherokee,2058,20.7953658,2.773279651,,1.128208105,0.273341225,1.103308276,,1.238259023,0.363383358,0.833762394,1.156707388,0.002673046,,5.982875643
Cherokee,2059,21.1220587,2.816847568,,1.14593213,0.277635386,1.120641127,,1.257711936,0.369092071,0.846860709,1.174879134,0.002715039,,6.076865959
Cherokee,2060,21.45317599,2.861005524,,1.163896191,0.281987702,1.138208716,,1.277428298,0.374878096,0.860136414,1.193296978,0.002757601,,6.172129182
Cherokee,2061,21.79822879,2.907021926,,1.182616293,0.286523191,1.156515661,,1.29797445,0.380907634,0.873970845,1.212489962,0.002801955,,6.271401684
Cherokee,2062,22.15156513,2.954143024,,1.2017858,0.291167562,1.175262092,,1.319013844,0.38708192,0.888137393,1.232143704,0.002847373,,6.373057379
Cherokee,2063,22.52681227,3.004186157,,1.222144031,0.296099935,1.195171013,,1.341357917,0.393639082,0.903182426,1.253016198,0.002895607,,6.481016863
Cherokee,2064,22.90039289,3.054007042,,1.242411849,0.301010403,1.214991515,,1.363602756,0.400167122,0.918160641,1.273795994,0.002943627,,6.588496886
Cherokee,2065,23.29834607,3.107078264,,1.264001948,0.306241233,1.236105115,,1.387298859,0.407121054,0.934116042,1.295931473,0.00299478,,6.702988953
Clayton,2020,11.68938662,5.355937743,,2.673199991,,1.36769121,2.673435823,,0.000396882,0.064095336,,,,2.894539361
Clayton,2021,11.83982317,5.42486598,,2.707602737,,1.385292711,2.707841603,,0.000401989,0.064920211,,,,2.931790634
Clayton,2022,11.98660073,5.492117709,,2.741168721,,1.402466099,2.741410549,,0.000406973,0.065725023,,,,2.968135862
Clayton,2023,12.13177157,5.55863326,,2.774367271,,1.419451497,2.774612028,,0.000411902,0.066521025,,,,3.004083232
Clayton,2024,12.27750873,5.625408291,,2.807695331,,1.436503156,2.807943028,,0.00041685,0.067320132,,,,3.040170836
Clayton,2025,12.42239085,5.691791555,,2.840827856,,1.453454773,2.841078475,,0.000421769,0.068114551,,,,3.076046714
Clayton,2026,12.56595662,5.75757168,,2.873659348,,1.470252373,2.873912864,,0.000426643,0.068901752,,,,3.111596634
Clayton,2027,12.71131769,5.82417439,,2.906901401,,1.487260028,2.90715785,,0.000431579,0.069698797,,,,3.147591109
Clayton,2028,12.85562855,5.890295908,,2.939903286,,1.504144806,2.940162646,,0.000436478,0.070490083,,,,3.183325531
Clayton,2029,12.99846562,5.955742151,,2.972568135,,1.520857146,2.972830377,,0.000441328,0.071273288,,,,3.21869501
Clayton,2030,13.14705509,6.023824078,,3.006548479,,1.538242533,3.006813718,,0.000446373,0.072088035,,,,3.255488906
Clayton,2031,13.24506814,6.068732493,,3.0289627,,1.549710337,3.029229917,,0.000449701,0.072625461,,,,3.279759011
Clayton,2032,13.35147741,6.11748795,,3.053297017,,1.562160521,3.053566381,,0.000453314,0.073208925,,,,3.306108195
Clayton,2033,13.46746049,6.170630015,,3.079820732,,1.575730868,3.080092436,,0.000457252,0.073844885,,,,3.334828058
Clayton,2034,13.57639065,6.22054052,,3.104731545,,1.588476005,3.105005446,,0.00046095,0.074442171,,,,3.361801471
Clayton,2035,13.67809749,6.267141381,,3.127990482,,1.600375991,3.128266436,,0.000464403,0.074999851,,,,3.386986235
Clayton,2036,13.78917574,6.318036114,,3.153392532,,1.613372461,3.153670727,,0.000468175,0.075608916,,,,3.41449156
Clayton,2037,13.89394036,6.366038014,,3.177350742,,1.625630216,3.17763105,,0.000471732,0.076183363,,,,3.440433495
Clayton,2038,13.9988131,6.414089454,,3.201333678,,1.637900623,3.201616102,,0.000475292,0.076758402,,,,3.466402203
Clayton,2039,14.10925603,6.464693092,,3.226590439,,1.650822758,3.226875092,,0.000479042,0.077363983,,,,3.49375021
Clayton,2040,14.22622019,6.518284674,,3.253338513,,1.664507894,3.253625525,,0.000483013,0.078005322,,,,3.522713009
Clayton,2041,14.35459837,6.577106027,,3.282696816,,1.679528503,3.282986418,,0.000487372,0.078709246,,,,3.554502161
Clayton,2042,14.47969299,6.634422893,,3.311304214,,1.694164926,3.31159634,,0.000491619,0.079395166,,,,3.585478235
Clayton,2043,14.60299701,6.690919328,,3.339502128,,1.708591845,3.339796741,,0.000495806,0.080071268,,,,3.616010919
Clayton,2044,14.72522224,6.746921474,,3.367453337,,1.722892542,3.367750416,,0.000499955,0.080741454,,,,3.646276472
Clayton,2045,14.84776514,6.803069168,,3.395477191,,1.737230406,3.395776742,,0.000504116,0.081413382,,,,3.676620684
Clayton,2046,14.9682865,6.858290621,,3.423038748,,1.751331745,3.423340731,,0.000508208,0.082074226,,,,3.706464322
Clayton,2047,15.09059457,6.914330723,,3.451008902,,1.765642135,3.451313352,,0.000512361,0.082744866,,,,3.736750388
Clayton,2048,15.21502689,6.971344131,,3.479464841,,1.780201067,3.479771802,,0.000516585,0.083427155,,,,3.767562462
Clayton,2049,15.33921599,7.028246096,,3.507865159,,1.794731542,3.508174625,,0.000520802,0.084108109,,,,3.798314309
Clayton,2050,15.46102148,7.084055923,,3.53572038,,1.808983129,3.536032304,,0.000524938,0.084775994,,,,3.828475926
Clayton,2051,15.47965364,7.092592957,,3.539981296,,1.811163144,3.540293595,,0.00052557,0.084878158,,,,3.833089643
Clayton,2052,15.51005441,7.106522226,,3.546933527,,1.814720119,3.54724644,,0.000526602,0.085044852,,,,3.840617515
Clayton,2053,15.54076669,7.120594229,,3.553956999,,1.818313543,3.554270532,,0.000527645,0.085213254,,,,3.848222527
Clayton,2054,15.5717959,7.134811441,,3.561052946,,1.821944048,3.561367105,,0.000528699,0.085383393,,,,3.855906014
Clayton,2055,15.60314744,7.149176345,,3.568222608,,1.825612267,3.568537399,,0.000529763,0.0855553,,,,3.863669319
Clayton,2056,15.63482678,7.163691439,,3.575467231,,1.829318838,3.575782661,,0.000530839,0.085729005,,,,3.871513792
Clayton,2057,15.66683937,7.178359227,,3.582788065,,1.833064402,3.583104141,,0.000531926,0.085904536,,,,3.879440787
Clayton,2058,15.69919071,7.193182227,,3.590186367,,1.8368496,3.590503096,,0.000533024,0.086081925,,,,3.887451664
Clayton,2059,15.73188633,7.208162969,,3.597663399,,1.840675079,3.597980787,,0.000534134,0.086261202,,,,3.89554779
Clayton,2060,15.76493175,7.22330399,,3.605220428,,1.844541487,3.605538483,,0.000535256,0.086442397,,,,3.903730536
Clayton,2061,15.9355351,7.30147241,,3.644235038,,1.86450256,3.644556535,,0.000541048,0.087377851,,,,3.945975533
Clayton,2062,16.10669679,7.379896658,,3.683377333,,1.88452896,3.683702283,,0.00054686,0.088316366,,,,3.988358787
Clayton,2063,16.27843112,7.458583284,,3.722650584,,1.904622362,3.722978999,,0.000552691,0.089258021,,,,4.03088384
Clayton,2064,16.45075257,7.537538919,,3.7620581,,1.924784457,3.762389992,,0.000558541,0.090202895,,,,4.073554275
Clayton,2065,16.62367577,7.616770271,,3.801603229,,1.94501696,3.801938609,,0.000564412,0.091151069,,,,4.116373717
