county,geoid,geoidfq,tract,pop,median_age,land_km2,water_km2,water_share,pop_density,housing_units,housing_occupied,housing_vacant,hu_density,vacancy_rate,persons_per_hh,median_hh_income,income_per_capita,poverty_universe,poverty_below,poverty_rate,commuters,commute_drove_alone,commute_transit,commute_wfh,mean_commute_min,drove_alone_share,transit_share,wfh_share
Coweta,13077170308,1400000US13077170308,170308,4985,29.8,19.885347,0.149747,0.007474234959915836,250.687101411909,2219,2039,180,111.58970472076751,0.08111762054979721,2.44,47134,37810,4979,354,0.07109861417955413,2468,2088,0,25,32.146950470732705,0.8460291734197731,0,0.01012965964343598
Coweta,13077170309,1400000US13077170309,170309,4455,35.4,3.678822,0.022456,0.006067093582270772,1210.9854730671939,2202,2039,163,598.5611698527409,0.0740236148955495,2.18,73909,44218,4441,544,0.12249493357351948,2464,1720,19,279,26.723112128146454,0.698051948051948,0.007711038961038961,0.11323051948051949
Coweta,13077170310,1400000US13077170310,170310,4432,41.3,14.059019,0.129378,0.009118577665961842,315.24247886712436,1810,1719,91,128.7429798622507,0.05027624309392265,2.58,81094,40820,4432,487,0.1098826714801444,2028,1371,0,226,32.07269700332964,0.6760355029585798,0,0.11143984220907298
Coweta,13077170403,1400000US13077170403,170403,5721,38.4,41.995769,0.421297,0.009932252268461944,136.22800906443695,1903,1808,95,45.314088664503316,0.049921177088807146,3.16,122877,46699,5721,438,0.07656004195070792,2700,1920,42,251,34.728460596161696,0.7111111111111111,0.015555555555555555,0.09296296296296297
Coweta,13077170404,1400000US13077170404,170404,5361,45.1,18.954687,0.329417,0.017082307790914217,282.8324202873938,2111,1984,127,111.37087096188927,0.060161061108479394,2.7,119077,54437,5303,107,0.02017725815576089,2792,2157,20,449,28.84763124199744,0.7725644699140402,0.0071633237822349575,0.1608166189111748
Coweta,13077170405,1400000US13077170405,170405,7518,43.6,19.615263,0.257636,0.012964188063352006,383.2729645276742,2824,2741,83,143.9695200620048,0.029390934844192633,2.74,100110,41146,7518,401,0.05333865389731311,3932,3286,0,449,27.616996841803044,0.8357070193285859,0,0.1141912512716175
Coweta,13077170406,1400000US13077170406,170406,4273,37.9,12.513756,0.204951,0.01611413801733148,341.46422544917766,1540,1504,36,123.06456990211412,0.023376623376623377,2.84,124449,57108,4196,302,0.07197330791229743,1963,1449,71,264,35.05002942907593,0.7381558838512481,0.03616912888436067,0.13448802852776362
Coweta,13077170407,1400000US13077170407,170407,1067,52.9,11.033295,0.017754,0.0016065443199102638,96.70728463255989,587,466,121,53.20260176130521,0.2061328790459966,2.29,71250,28548,1067,136,0.1274601686972821,452,179,0,41,16.05839416058394,0.39601769911504425,0,0.09070796460176991
Coweta,13077170408,1400000US13077170408,170408,8139,44.5,29.542438,0.445451,0.014854363373160411,275.5019744815915,2981,2878,103,100.90568693078073,0.034552163703455215,2.83,140750,50652,8139,179,0.02199287381742229,4226,3183,12,774,29.587195828505216,0.7531945101751065,0.002839564600094652,0.18315191670610506
Coweta,13077170501,1400000US13077170501,170501,6717,45.9,104.232815,1.434893,0.013579295199627119,64.44227760710483,2787,2600,187,26.73822058820919,0.067097237172587,2.58,98750,42564,6717,304,0.045258299836236415,3220,2677,21,263,33.36489685492053,0.8313664596273292,0.006521739130434782,0.08167701863354038
Coweta,13077170502,1400000US13077170502,170502,7873,37.8,79.167064,0.713121,0.008927382929821707,99.44792192874553,2819,2744,75,35.60824233673741,0.026605179141539554,2.87,93109,36448,7850,378,0.04815286624203822,3880,3174,0,474,36.228714034057546,0.818041237113402,0,0.12216494845360824
Coweta,13077170503,1400000US13077170503,170503,7739,39,70.821177,1.405051,0.01945347332827626,109.27522427366604,2904,2715,189,41.004684234491044,0.06508264462809918,2.85,105688,43036,7739,526,0.0679674376534436,3849,2994,0,435,30.804042179261863,0.7778643803585347,0,0.11301636788776305
Coweta,13077170603,1400000US13077170603,170603,7117,39.7,31.800007,0.559445,0.017288457171648026,223.8049821812932,2449,2382,67,77.01256166390152,0.02735810534912209,2.99,109559,39582,7042,504,0.07157057654075547,3288,2527,17,329,28.514700912470428,0.7685523114355232,0.005170316301703163,0.10006082725060828
Coweta,13077170604,1400000US13077170604,170604,4076,34.8,5.241021,0.041472,0.007850838609724613,777.7110604975634,1474,1407,67,281.24291049396675,0.045454545454545456,2.9,55839,23630,4076,662,0.16241413150147202,1650,1200,0,201,17.646652864044167,0.7272727272727273,0,0.12181818181818181
Coweta,13077170605,1400000US13077170605,170605,3458,34.2,18.642506,0.65335,0.033859601771489174,185.4900837902372,1502,1227,275,80.56856733745988,0.18308921438082557,2.82,50664,43285,3458,1161,0.3357432041642568,1306,1080,0,138,34.653253424657535,0.8269525267993875,0,0.10566615620214395
Coweta,13077170606,1400000US13077170606,170606,4985,34.3,4.991134,0.018368,0.003666631932675144,998.7710207740366,1952,1915,37,391.09348697109715,0.018954918032786885,2.6,121792,52937,4963,408,0.08220834172879307,2708,2145,0,437,30.61206516952884,0.7920974889217134,0,0.16137370753323485
