year,source,target,units,value
2024,Yates Plant,elec_own_use,PJ,0.4520426040000008
2024,Yates Plant,electricity,PJ,7.544232
2024,agricultural,Water Losses,MGD,1.9676492259525797
2024,agricultural,wastewater,MGD,0
2024,commercial,Water Losses,MGD,41.015867654947556
2024,commercial,energy_services,PJ,70.81781023249249
2024,commercial,rejected_energy,PJ,38.13266704826518
2024,commercial,wastewater,MGD,94.21456198498329
2024,electricity,Bowen Plant,PJ,0.02417930373553719
2024,electricity,Energy Losses,PJ,10.075984679398218
2024,electricity,Jack McDonough Plant,PJ,0.00805976791184573
2024,electricity,Yates Plant,PJ,0.004461657236914601
2024,electricity,agricultural,PJ,0.0015820960192837465
2024,electricity,commercial,PJ,64.05902512409726
2024,electricity,en4water,PJ,3.8238918707565674
2024,electricity,government,PJ,0.4862773077667783
2024,electricity,in-county treatment,PJ,1.9538591283913558
2024,electricity,industrial,PJ,44.54396586989979
2024,electricity,publicWatSup,PJ,1.3611151024373895
2024,electricity,residential,PJ,54.79032870019729
2024,electricity,transport,PJ,0.28535598760741326
2024,electricity,ww_exports,PJ,0.41486794466944316
2024,en4water,energy_services,PJ,2.485529715991769
2024,en4water,rejected_energy,PJ,1.3383621547647986
2024,government,energy_services,PJ,0.31608025004840584
2024,government,rejected_energy,PJ,0.1701970577183724
2024,groundwaterAllBasins,agricultural,MGD,1.688
2024,groundwaterAllBasins,industrial,MGD,6.217749999999998
2024,groundwaterAllBasins,publicWatSup,MGD,3.66
2024,groundwaterAllBasins,residential,MGD,6.0927266410000005
2024,in-county treatment,Disposal,MGD,476.588204052842
2024,industrial,Disposal,MGD,22.995850635923638
2024,industrial,energy_services,PJ,136.26100280395923
2024,industrial,rejected_energy,PJ,141.82267638779436
2024,industrial,wastewater,MGD,18.26337332452725
2024,out_metro_elec_import,electricity,PJ,65.6912046693685
2024,publicWatSup,Water Losses,MGD,124.841256902
2024,publicWatSup,agricultural,MGD,0.2796492259525799
2024,publicWatSup,commercial,MGD,135.23042963993086
2024,publicWatSup,industrial,MGD,23.494223960450896
2024,publicWatSup,residential,MGD,367.74311433063804
2024,residential,Water Losses,MGD,71.57032640304996
2024,residential,energy_services,PJ,89.31404918191876
2024,residential,rejected_energy,PJ,48.09218032872549
2024,residential,septic,MGD,69.51189748767125
2024,residential,wastewater,MGD,232.7536170809168
2024,subsurface,wastewater,MGD,131.35665166241466
2024,surfaceWater,Basins,MGD,710.4759240589723
2024,transport,energy_services,PJ,348.9800199276161
2024,transport,rejected_energy,PJ,187.91231842256252
2024,wastewater,in-county treatment,MGD,400.691802747842
2024,wastewater,ww_exports,MGD,75.89640130500001
2024,ww_imports,in-county treatment,MGD,75.89640130500001
